olinkID	UNIPROT	TargetFullName	Target	uniprot_gn_symbol	entrezgene_id	entrezgene_accession	hgnc_id	hgnc_symbol	external_gene_name	gene_biotype	CHR	START_hg19	END_hg19	strand_hg19	START_hg38	END_hg38	strand_hg38	uniprot_gn_id
OID40014	Q5TYW2	Ankyrin repeat domain-containing protein 20A1	ANKRD20A1	ANKRD20A1	84210	ANKRD20A1	HGNC:23665	ANKRD20A1	ANKRD20A1	protein_coding	9	NA	NA	NA	67858931	67920552	+	NA
OID40015	Q6NSI1	Putative ankyrin repeat domain-containing protein 26-like protein	ANKRD26P1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OID40016	O15084	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	ANKRD28	ANKRD28	23243	ANKRD28	HGNC:29024	ANKRD28	ANKRD28	protein_coding	3	15708744	15901053	-	15667236	15859771	-	O15084
OID40017	A5PLL1	Ankyrin repeat domain-containing protein 34B	ANKRD34B	ANKRD34B	340120	ANKRD34B	HGNC:33736	ANKRD34B	ANKRD34B	protein_coding	5	79852574	79866304	-	80556755	80570280	-	A5PLL1
OID40018	P0C6C1	Ankyrin repeat domain-containing protein 34C	ANKRD34C	ANKRD34C	390616	ANKRD34C	HGNC:33888	ANKRD34C	ANKRD34C	protein_coding	15	79575146	79590581	+	79282722	79298239	+	P0C6C1
OID40019	Q96IX9	Putative ankyrin repeat domain-containing protein 26-like 1	ANKRD36BP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OID40020	Q5TZF3	Ankyrin repeat domain-containing protein 45	ANKRD45	ANKRD45	339416	ANKRD45	HGNC:24786	ANKRD45	ANKRD45	protein_coding	1	173577475	173639001	-	173596060	173669851	-	Q5TZF3
OID40021	Q9NQW6	Anillin	ANLN	ANLN	54443	ANLN	HGNC:14082	ANLN	ANLN	protein_coding	7	36429432	36493400	+	36389821	36453791	+	Q9NQW6
OID40022	O00213	Amyloid beta precursor protein binding family B member 1	APBB1	APBB1	322	APBB1	HGNC:581	APBB1	APBB1	protein_coding	11	6416355	6440644	-	6395125	6419414	-	O00213
OID40023	Q9UBZ4	DNA-(apurinic or apyrimidinic site) endonuclease 2	APEX2	APEX2	27301	APEX2	HGNC:17889	APEX2	APEX2	protein_coding	X	55026756	55034306	+	55000363	55009057	+	Q9UBZ4
OID40024	Q8IW19	Aprataxin and PNK-like factor	APLF	APLF	200558	APLF	HGNC:28724	APLF	APLF	protein_coding	2	68694691	68857856	+	68467572	68630724	+	Q8IW19
OID40025	Q9Y235	C->U-editing enzyme APOBEC-2	APOBEC2	APOBEC2	10930	APOBEC2	HGNC:605	APOBEC2	APOBEC2	protein_coding	6	41020940	41032630	+	41053202	41064891	+	Q9Y235
OID40026	Q7Z2E3	Aprataxin	APTX	APTX	54840	APTX	HGNC:15984	NA	APTX	protein_coding	9	32972604	33001639	-	32886601	33025130	-	A0A5K1VW64
OID40027	P29972	Aquaporin-1	AQP1	AQP1	358	AQP1	HGNC:633	AQP1	AQP1	protein_coding	7	30893010	30965131	+	30852273	30925517	+	P29972
OID40028	O15033	Apoptosis-resistant E3 ubiquitin protein ligase 1	AREL1	AREL1	9870	AREL1	HGNC:20363	AREL1	AREL1	protein_coding	14	75127955	75179807	-	74653437	74713117	-	O15033
OID40029	Q9Y6D5	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	ARFGEF2	ARFGEF2	10564	ARFGEF2	HGNC:15853	ARFGEF2	ARFGEF2	protein_coding	20	47538275	47653230	+	48921711	49036693	+	Q9Y6D5
OID40030	Q9P2F6	Rho GTPase-activating protein 20	ARHGAP20	ARHGAP20	57569	ARHGAP20	HGNC:18357	ARHGAP20	ARHGAP20	protein_coding	11	110447759	110583912	-	110577042	110713189	-	Q9P2F6
OID40031	A8MVX0	Rho guanine nucleotide exchange factor 33	ARHGEF33	ARHGEF33	100271715	ARHGEF33	HGNC:37252	NA	ARHGEF33	protein_coding	2	39146504	39202590	+	38875991	38975454	+	H7C1C9
OID40032	Q8TER5	Rho guanine nucleotide exchange factor 40	ARHGEF40	ARHGEF40	55701	ARHGEF40	HGNC:25516	ARHGEF40	ARHGEF40	protein_coding	14	21538527	21558036	+	21070273	21090248	+	Q8TER5
OID40033	Q8N8R7	ARL14 effector protein	ARL14EP	ARL14EP	120534	ARL14EP	HGNC:26798	ARL14EP	ARL14EP	protein_coding	11	30344649	30359165	+	30323104	30338223	+	Q8N8R7
OID40034	Q9UBL0	cAMP-regulated phosphoprotein 21	ARPP21	ARPP21	10777	ARPP21	HGNC:16968	ARPP21	ARPP21	protein_coding	3	35680666	35835988	+	35638945	35794496	+	Q9UBL0
OID40035	P36575	Arrestin-C	ARR3	ARR3	407	ARR3	HGNC:710	ARR3	ARR3	protein_coding	X	69488185	69501690	+	70268305	70281840	+	P36575
OID40036	O00192	Splicing regulator ARVCF	ARVCF	ARVCF	421	ARVCF	HGNC:728	ARVCF	ARVCF	protein_coding	22	19957402	20004309	-	19969896	20016823	-	O00192
OID40037	Q8TDY4	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 3	ASAP3	ASAP3	55616	ASAP3	HGNC:14987	ASAP3	ASAP3	protein_coding	1	23755056	23811057	-	23428563	23484637	-	Q8TDY4
OID40038	Q8WXH4	Ankyrin repeat and SOCS box protein 11	ASB11	ASB11	140456	ASB11	HGNC:17186	ASB11	ASB11	protein_coding	X	15299831	15333746	-	15281697	15315640	-	Q8WXH4
OID40039	Q9NWX5	Ankyrin repeat and SOCS box protein 6	ASB6	ASB6	140459	ASB6	HGNC:17181	ASB6	ASB6	protein_coding	9	132396883	132404448	-	129634604	129642169	-	Q9NWX5
OID40040	Q9C0F0	Putative Polycomb group protein ASXL3	ASXL3	ASXL3	80816	ASXL3	HGNC:29357	ASXL3	ASXL3	protein_coding	18	31158541	31327399	+	33578219	33751195	+	Q9C0F0
OID40041	Q8WWH4	Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1	ASZ1	ASZ1	136991	ASZ1	HGNC:1350	ASZ1	ASZ1	protein_coding	7	117003276	117067577	-	117363222	117428123	-	Q8WWH4
OID40042	P18847	Cyclic AMP-dependent transcription factor ATF-3	ATF3	ATF3	467	ATF3	HGNC:785	ATF3	ATF3	protein_coding	1	212738676	212794119	+	212565334	212620775	+	P18847
OID40043	Q15904	V-type proton ATPase subunit S1	ATP6AP1	ATP6AP1	537	ATP6AP1	HGNC:868	ATP6AP1	ATP6AP1	protein_coding	X	153656978	153664862	+	154428633	154436516	+	Q15904
OID40044	P46100	Transcriptional regulator ATRX	ATRX	ATRX	546	ATRX	HGNC:886	ATRX	ATRX	protein_coding	X	76760356	77041719	-	77504880	77786233	-	P46100
OID40045	P54253	Ataxin-1	ATXN1	ATXN1	6310	ATXN1	HGNC:10548	ATXN1	ATXN1	protein_coding	6	16299343	16761721	-	16299112	16761491	-	P54253
OID40046	O15265	Ataxin-7	ATXN7	ATXN7	6314	ATXN7	HGNC:10560	ATXN7	ATXN7	protein_coding	3	63850233	63989136	+	63863155	64003462	+	O15265
OID40047	Q5T6C5	Ataxin-7-like protein 2	ATXN7L2	ATXN7L2	127002	ATXN7L2	HGNC:28713	ATXN7L2	ATXN7L2	protein_coding	1	110026561	110035420	+	109483479	109492804	+	Q5T6C5
OID40048	Q9H7T9	Aurora kinase A and ninein-interacting protein	AUNIP	AUNIP	79000	AUNIP	HGNC:28363	AUNIP	AUNIP	protein_coding	1	26160497	26185848	-	25831913	25859458	-	Q9H7T9
OID40049	Q8N9N5	Protein BANP	BANP	BANP	54971	BANP	HGNC:13450	BANP	BANP	protein_coding	16	87984238	88110924	+	87949244	88077318	+	Q8N9N5
OID40050	Q9NRL2	Bromodomain adjacent to zinc finger domain protein 1A	BAZ1A	BAZ1A	11177	BAZ1A	HGNC:960	BAZ1A	BAZ1A	protein_coding	14	35221937	35344853	-	34752731	34875647	-	Q9NRL2
OID40051	O43521	Bcl-2-like protein 11	BCL2L11	BCL2L11	10018	BCL2L11	HGNC:994	BCL2L11	BCL2L11	protein_coding	2	111878491	111926022	+	111119378	111168444	+	O43521
OID40052	Q7RTS1	Class A basic helix-loop-helix protein 15	BHLHA15	BHLHA15	168620	BHLHA15	HGNC:22265	BHLHA15	BHLHA15	protein_coding	7	97841568	97842271	+	98211439	98215457	+	Q7RTS1
OID40053	Q96G01	Protein bicaudal D homolog 1	BICD1	BICD1	636	BICD1	HGNC:1049	BICD1	BICD1	protein_coding	12	32260185	32531141	+	32106847	32383633	+	Q96G01
OID40054	Q6ZP65	BICD family-like cargo adapter 1	BICDL1	BICDL1	92558	BICDL1	HGNC:28095	BICDL1	BICDL1	protein_coding	12	120427648	120532299	+	119989236	120094494	+	Q6ZP65
OID40055	Q6AI39	BRD4-interacting chromatin-remodeling complex-associated protein-like	BICRAL	BICRAL	23506	BICRAL	HGNC:21111	BICRAL	BICRAL	protein_coding	6	42749790	42836296	+	42782052	42868558	+	Q6AI39
OID40056	Q13323	Bcl-2-interacting killer	BIK	BIK	638	BIK	HGNC:1051	BIK	BIK	protein_coding	22	43506754	43525718	+	43110750	43129712	+	Q13323
OID40057	O00499	Myc box-dependent-interacting protein 1	BIN1	BIN1	274	BIN1	HGNC:1052	BIN1	BIN1	protein_coding	2	127805599	127864903	-	127048027	127107288	-	O00499
OID40058	Q13489	Baculoviral IAP repeat-containing protein 3	BIRC3	BIRC3	330	BIRC3	HGNC:591	BIRC3	BIRC3	protein_coding	11	102188181	102210135	+	102317484	102339403	+	Q13489
OID40059	Q96CA5	Baculoviral IAP repeat-containing protein 7	BIRC7	BIRC7	79444	BIRC7	HGNC:13702	BIRC7	BIRC7	protein_coding	20	61867276	61871854	+	63235883	63240495	+	Q96CA5
OID40060	P54132	RecQ-like DNA helicase BLM	BLM	BLM	641	BLM	HGNC:1058	BLM	BLM	protein_coding	15	91260579	91358686	+	90717346	90816166	+	P54132
OID40061	Q9H2G9	Golgin-45	BLZF1	BLZF1	8548	BLZF1	HGNC:1065	BLZF1	BLZF1	protein_coding	1	169337194	169365780	+	169367970	169396540	+	Q9H2G9
OID40062	P35226	Polycomb complex protein BMI-1	BMI1	BMI1	648	BMI1	HGNC:1066	BMI1	BMI1	protein_coding	10	22610139	22620414	+	22321099	22331484	+	P35226
OID40063	O00238	Bone morphogenetic protein receptor type-1B	BMPR1B	BMPR1B	658	BMPR1B	HGNC:1077	BMPR1B	BMPR1B	protein_coding	4	95679128	96079601	+	94757955	95158448	+	O00238
OID40064	Q8NFC6	Biorientation of chromosomes in cell division protein 1-like 1	BOD1L1	BOD1L1	259282	BOD1L1	HGNC:31792	BOD1L1	BOD1L1	protein_coding	4	13570366	13629328	-	13568738	13627725	-	Q8NFC6
OID40065	Q9BQP9	BPI fold-containing family A member 3	BPIFA3	BPIFA3	128861	BPIFA3	HGNC:16204	BPIFA3	BPIFA3	protein_coding	20	31805135	31815559	+	33217310	33227806	+	Q9BQP9
OID40066	P55201	Peregrin	BRPF1	BRPF1	7862	BRPF1	HGNC:14255	BRPF1	BRPF1	protein_coding	3	9773434	9789699	+	9731729	9748019	+	P55201
OID40067	Q9NY30	Protein BTG4	BTG4	BTG4	54766	BTG4	HGNC:13862	BTG4	BTG4	protein_coding	11	111338256	111383079	-	111384737	111514367	-	Q9NY30
OID40068	Q13895	Bystin	BYSL	BYSL	705	BYSL	HGNC:1157	BYSL	BYSL	protein_coding	6	41888965	41900784	+	41921499	41933046	+	Q13895
OID40069	Q5T681	Uncharacterized protein C10orf62	C10orf62	C10orf62	414157	C10orf62	HGNC:23294	C10orf62	C10orf62	protein_coding	10	99349450	99350691	+	97589721	97590934	+	Q5T681
OID40070	Q8IYJ2	Uncharacterized protein C10orf67, mitochondrial	C10orf67	C10orf67	256815	C10orf67	HGNC:28716	NA	C10orf67	protein_coding	10	23605520	23633772	-	23202696	23344845	-	Q5SXQ8
OID40071	Q96M02	(E2-independent) E3 ubiquitin-conjugating enzyme FATS	C10orf90	C10orf90	118611	C10orf90	HGNC:26563	C10orf90	C10orf90	protein_coding	10	128113574	128359079	-	126424997	126798708	-	Q96M02
OID40072	Q96LP6	Uncharacterized protein C12orf42	C12orf42	C12orf42	374470	C12orf42	HGNC:24729	C12orf42	C12orf42	protein_coding	12	103631369	103889749	-	103079634	103571337	-	Q96LP6
OID40073	Q8N769	Uncharacterized protein C14orf178	C14orf178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OID40074	Q5SNV9	Uncharacterized protein C1orf167	C1orf167	C1orf167	284498	C1orf167	HGNC:25262	C1orf167	C1orf167	protein_coding	1	NA	NA	NA	11761787	11789585	+	Q5SNV9
OID40075	Q9BZE7	UPF0193 protein EVG1	C22orf23	C22orf23	84645	C22orf23	HGNC:18589	C22orf23	C22orf23	protein_coding	22	38339057	38349676	-	37943050	37953669	-	Q9BZE7
OID40076	Q8TF44	C2 calcium-dependent domain-containing protein 4C	C2CD4C	C2CD4C	126567	C2CD4C	HGNC:29417	C2CD4C	C2CD4C	protein_coding	19	405443	409170	-	405445	409147	-	Q8TF44
OID40077	Q9NWW7	Uncharacterized protein C2orf42	C2orf42	C2orf42	54980	C2orf42	HGNC:26056	C2orf42	C2orf42	protein_coding	2	70377017	70418151	-	70149885	70248615	-	Q9NWW7
OID40078	Q53S99	Folate transporter-like protein C2orf83	C2orf83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OID40079	Q53FE4	Uncharacterized protein C4orf17	C4orf17	C4orf17	84103	C4orf17	HGNC:25274	C4orf17	C4orf17	protein_coding	4	100432161	100463460	+	99511012	99542303	+	Q53FE4
OID40080	Q5T0Z8	Uncharacterized protein C6orf132	C6orf132	C6orf132	647024	C6orf132	HGNC:21288	C6orf132	C6orf132	protein_coding	6	42068857	42110715	-	42092233	42142620	-	Q5T0Z8
OID40081	Q5VYM1	Uncharacterized protein C9orf131	C9orf131	SPATA31G1	138724	SPATA31G1	HGNC:31418	SPATA31G1	SPATA31G1	protein_coding	9	35041102	35045988	+	35041095	35045986	+	NA
OID40082	P57796	Calcium-binding protein 4	CABP4	CABP4	57010	CABP4	HGNC:1386	CABP4	CABP4	protein_coding	11	67219886	67229245	+	67452406	67461752	+	P57796
OID40083	O00305	Voltage-dependent L-type calcium channel subunit beta-4	CACNB4	CACNB4	785	CACNB4	HGNC:1404	CACNB4	CACNB4	protein_coding	2	152689286	152955593	-	151802827	152099167	-	O00305
OID40084	Q8WUQ7	Cactin	CACTIN	CACTIN	58509	CACTIN	HGNC:29938	CACTIN	CACTIN	protein_coding	19	3610627	3626813	-	3610645	3626815	-	Q8WUQ7
OID40085	Q8TC20	Cancer-associated gene 1 protein	CAGE1	CAGE1	285782	CAGE1	HGNC:21622	CAGE1	CAGE1	protein_coding	6	7326887	7389942	-	7326656	7389742	-	Q8TC20
OID40086	Q96NX5	Calcium/calmodulin-dependent protein kinase type 1G	CAMK1G	CAMK1G	57172	CAMK1G	HGNC:14585	CAMK1G	CAMK1G	protein_coding	1	209757045	209787284	+	209583714	209613939	+	Q96NX5
OID40087	Q8WWF8	Calcyphosin-like protein	CAPSL	CAPSL	133690	CAPSL	HGNC:28375	CAPSL	CAPSL	protein_coding	5	35904398	35938881	-	35904288	35938779	-	Q8WWF8
OID40088	Q8WXD9	Caskin-1	CASKIN1	CASKIN1	57524	CASKIN1	HGNC:20879	CASKIN1	CASKIN1	protein_coding	16	2227184	2246465	-	2177180	2196605	-	Q8WXD9
OID40089	Q8NA61	Protein chibby homolog 2	CBY2	CBY2	220082	CBY2	HGNC:30720	CBY2	CBY2	protein_coding	13	46276446	46288693	+	45702320	45714559	+	Q8NA61
OID40090	Q6ZUS5	Coiled-coil domain-containing protein 121	CCDC121	CCDC121	79635	CCDC121	HGNC:25833	CCDC121	CCDC121	protein_coding	2	27848506	27851898	-	27625638	27629012	-	Q6ZUS5
OID40091	P0C7W6	Coiled-coil domain-containing protein 172	CCDC172	CCDC172	374355	CCDC172	HGNC:30524	CCDC172	CCDC172	protein_coding	10	118083940	118139541	+	116324448	116380029	+	P0C7W6
OID40092	Q5TID7	Coiled-coil domain-containing protein 181	CCDC181	CCDC181	57821	CCDC181	HGNC:28051	CCDC181	CCDC181	protein_coding	1	169364114	169429907	-	169394870	169460669	-	Q5TID7
OID40093	Q5VVM6	Coiled-coil domain-containing protein 30	CCDC30	CCDC30	728621	CCDC30	HGNC:26103	CCDC30	CCDC30	protein_coding	1	42929025	43120335	+	42463221	42657190	+	Q5VVM6
OID40094	Q8N5R6	Coiled-coil domain-containing protein 33	CCDC33	CCDC33	80125	CCDC33	HGNC:26552	NA	CCDC33	protein_coding	15	74528630	74628813	+	74202705	74336472	+	A0A1B0GV97
OID40095	A6NI79	Coiled-coil domain-containing protein 69	CCDC69	CCDC69	26112	CCDC69	HGNC:24487	CCDC69	CCDC69	protein_coding	5	150560613	150603654	-	151181052	151224093	-	A6NI79
OID40096	P24385	G1/S-specific cyclin-D1	CCND1	CCND1	595	CCND1	HGNC:1582	CCND1	CCND1	protein_coding	11	69455873	69469242	+	69641156	69654474	+	P24385
OID40097	Q6UXZ3	CMRF35-like molecule 5	CD300LD	CD300LD	100131439	CD300LD	HGNC:16848	CD300LD	CD300LD	protein_coding	17	72576111	72588370	-	74579365	74592283	-	Q6UXZ3
OID40098	P30307	M-phase inducer phosphatase 3	CDC25C	CDC25C	995	CDC25C	HGNC:1727	CDC25C	CDC25C	protein_coding	5	137620959	137674044	-	138285269	138338355	-	P30307
OID40099	Q69YH5	Cell division cycle-associated protein 2	CDCA2	CDCA2	157313	CDCA2	HGNC:14623	CDCA2	CDCA2	protein_coding	8	25316513	25365425	+	25459199	25507911	+	Q69YH5
OID40100	Q99618	Cell division cycle-associated protein 3	CDCA3	CDCA3	83461	CDCA3	HGNC:14624	CDCA3	CDCA3	protein_coding	12	6953963	6960456	-	6844793	6851292	-	Q99618
OID40101	Q53HL2	Borealin	CDCA8	CDCA8	55143	CDCA8	HGNC:14629	CDCA8	CDCA8	protein_coding	1	38158073	38175391	+	37692481	37709719	+	Q53HL2
OID40102	O75871	Carcinoembryonic antigen-related cell adhesion molecule 4	CEACAM4	CEACAM4	1089	CEACAM4	HGNC:1816	CEACAM4	CEACAM4	protein_coding	19	42125344	42133442	-	41619015	41627074	-	O75871
OID40103	Q8N2Z9	Centromere protein S	CENPS	CENPS	378708	CENPS	HGNC:23163	CENPS	CENPS	protein_coding	1	10490159	10502872	+	10430433	10442808	+	Q8N2Z9
OID40104	Q5JTW2	Centrosomal protein of 78 kDa	CEP78	CEP78	84131	CEP78	HGNC:25740	CEP78	CEP78	protein_coding	9	80850991	80886799	+	78236062	78279690	+	Q5JTW2
OID40105	Q9Y592	Centrosomal protein of 83 kDa	CEP83	CEP83	51134	CEP83	HGNC:17966	CEP83	CEP83	protein_coding	12	94702056	94853764	-	94277758	94459988	-	Q9Y592
OID40106	O95813	Cerberus	CER1	CER1	9350	CER1	HGNC:1862	CER1	CER1	protein_coding	9	14719732	14722715	-	14719724	14722733	-	O95813
OID40107	Q12798	Centrin-1	CETN1	CETN1	1068	CETN1	HGNC:1866	CETN1	CETN1	protein_coding	18	580369	581524	+	580380	582114	+	Q12798
OID40108	Q5VTH2	Protein Flattop	CFAP126	CFAP126	257177	CFAP126	HGNC:32325	CFAP126	CFAP126	protein_coding	1	161334521	161337673	-	161364733	161367876	-	Q5VTH2
OID40109	Q6ZVT6	Protein CFAP20DC	CFAP20DC	CFAP20DC	200844	CFAP20DC	HGNC:24763	NA	CFAP20DC	protein_coding	3	58711287	59035758	-	58717365	59050084	-	C9IYJ1
OID40110	Q8NDM7	Cilia- and flagella-associated protein 43	CFAP43	CFAP43	80217	CFAP43	HGNC:26684	CFAP43	CFAP43	protein_coding	10	105889646	105992120	-	104129888	104232364	-	Q8NDM7
OID40111	Q9C0B2	Cilia- and flagella-associated protein 74	CFAP74	CFAP74	85452	CFAP74	HGNC:29368	CFAP74	CFAP74	protein_coding	1	1884752	1935276	-	1921951	2003837	-	Q9C0B2
OID40112	Q9P2B7	Cilia- and flagella-associated protein 97	CFAP97	CFAP97	57587	CFAP97	HGNC:29276	CFAP97	CFAP97	protein_coding	4	186080819	186125182	-	185159665	185209504	-	Q9P2B7
OID40113	Q13112	Chromatin assembly factor 1 subunit B	CHAF1B	CHAF1B	8208	CHAF1B	HGNC:1911	CHAF1B	CHAF1B	protein_coding	21	37757689	37789125	+	36385392	36419015	+	Q13112
OID40114	Q96JM3	Chromosome alignment-maintaining phosphoprotein 1	CHAMP1	CHAMP1	283489	CHAMP1	HGNC:20311	CHAMP1	CHAMP1	protein_coding	13	115079965	115092803	+	114314482	114337626	+	Q96JM3
OID40115	O14647	Chromodomain-helicase-DNA-binding protein 2	CHD2	CHD2	1106	CHD2	HGNC:1917	CHD2	CHD2	protein_coding	15	93429399	93571237	+	92886203	93027996	+	O14647
OID40116	O43916	Carbohydrate sulfotransferase 1	CHST1	CHST1	8534	CHST1	HGNC:1969	CHST1	CHST1	protein_coding	11	45669239	45687206	-	45647689	45665622	-	O43916
OID40117	O76071	Probable cytosolic iron-sulfur protein assembly protein CIAO1	CIAO1	CIAO1	9391	CIAO1	HGNC:14280	CIAO1	CIAO1	protein_coding	2	96931884	96939900	+	96266159	96274173	+	O76071
OID40118	Q9C0C6	CLOCK-interacting pacemaker	CIPC	CIPC	85457	CIPC	HGNC:20365	CIPC	CIPC	protein_coding	14	77564578	77583630	+	77098126	77117287	+	Q9C0C6
OID40119	Q8N5K1	CDGSH iron-sulfur domain-containing protein 2	CISD2	CISD2	493856	CISD2	HGNC:24212	CISD2	CISD2	protein_coding	4	103790135	103813963	+	102868974	102892807	+	Q8N5K1
OID40120	Q96F83	Uncharacterized protein CLBA1	CLBA1	CLBA1	122616	CLBA1	HGNC:20126	CLBA1	CLBA1	protein_coding	14	105452616	105461855	+	104985775	105010482	+	Q96F83
OID40121	Q9HAE3	Calaxin	CLXN	CLXN	79645	CLXN	HGNC:25678	CLXN	CLXN	protein_coding	8	49623351	49647870	-	48710789	48735311	-	Q9HAE3
OID40122	Q969H4	Connector enhancer of kinase suppressor of ras 1	CNKSR1	CNKSR1	10256	CNKSR1	HGNC:19700	CNKSR1	CNKSR1	protein_coding	1	26503981	26516375	+	26177484	26189884	+	Q969H4
OID40123	Q9UKZ1	CCR4-NOT transcription complex subunit 11	CNOT11	CNOT11	55571	CNOT11	HGNC:25217	CNOT11	CNOT11	protein_coding	2	101869345	101886778	+	101252886	101270316	+	Q9UKZ1
OID40124	Q86Y22	Collagen alpha-1(XXIII) chain	COL23A1	COL23A1	91522	COL23A1	HGNC:22990	COL23A1	COL23A1	protein_coding	5	177664617	178017556	-	178237476	178590393	-	Q86Y22
OID40125	Q14031	Collagen alpha-6(IV) chain	COL4A6	COL4A6	1288	COL4A6	HGNC:2208	COL4A6	COL4A6	protein_coding	X	107386780	107682704	-	108155607	108439497	-	Q14031
OID40126	Q9Y215	Acetylcholinesterase collagenic tail peptide	COLQ	COLQ	8292	COLQ	HGNC:2226	COLQ	COLQ	protein_coding	3	15491640	15563258	-	15439199	15521751	-	Q9Y215
OID40127	Q86VX2	COMM domain-containing protein 7	COMMD7	COMMD7	149951	COMMD7	HGNC:16223	COMMD7	COMMD7	protein_coding	20	31290493	31331814	-	32702699	32743467	-	Q86VX2
OID40128	Q9P2I0	Cleavage and polyadenylation specificity factor subunit 2	CPSF2	CPSF2	53981	CPSF2	HGNC:2325	CPSF2	CPSF2	protein_coding	14	92588298	92630543	+	92121969	92172145	+	Q9P2I0
OID40129	Q9UKF6	Cleavage and polyadenylation specificity factor subunit 3	CPSF3	CPSF3	51692	CPSF3	HGNC:2326	CPSF3	CPSF3	protein_coding	2	9563666	9613239	+	9423651	9473101	+	Q9UKF6
OID40130	Q8IUH2	Protein CREG2	CREG2	CREG2	200407	CREG2	HGNC:14272	CREG2	CREG2	protein_coding	2	101964816	102003965	-	101345550	101387503	-	Q8IUH2
OID40131	Q86T23	Putative ciliary rootlet coiled-coil protein-like 1 protein	CROCCP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OID40132	Q8IVE0	Putative ciliary rootlet coiled-coil protein-like 2 protein	CROCCP3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OID40133	P02489	Alpha-crystallin A chain	CRYAA	CRYAA	1409	CRYAA	HGNC:2388	CRYAA	CRYAA	protein_coding	21	44589141	44592913	+	43169008	43172805	+	NA
OID40134	P78368	Casein kinase I isoform gamma-2	CSNK1G2	CSNK1G2	1455	CSNK1G2	HGNC:2455	CSNK1G2	CSNK1G2	protein_coding	19	1941161	1981336	+	1941172	1981338	+	P78368
